symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-02-01,138.25,143.25,128.11,130.06,-8.19,-5.92,9589504
APOLLO.NS,2025-02-03,126.50,129.67,121.25,122.33,-4.17,-3.30,5598745
APOLLO.NS,2025-02-04,125.00,132.45,124.60,128.46,3.46,2.77,6495344
APOLLO.NS,2025-02-05,138.00,138.00,127.10,128.16,-9.84,-7.13,7692001
APOLLO.NS,2025-02-06,130.38,134.90,128.30,129.78,-0.60,-0.46,4869146
APOLLO.NS,2025-02-07,130.70,134.80,126.20,128.38,-2.32,-1.78,9268652
APOLLO.NS,2025-02-10,129.00,129.70,123.50,125.00,-4.00,-3.10,4568335
APOLLO.NS,2025-02-11,124.79,125.20,118.20,119.08,-5.71,-4.58,5391510
APOLLO.NS,2025-02-12,120.49,124.30,114.70,120.25,-0.24,-0.20,9606261
APOLLO.NS,2025-02-13,120.24,124.40,119.76,120.69,0.45,0.37,6173529
APOLLO.NS,2025-02-14,122.00,123.07,112.47,113.78,-8.22,-6.74,7192753
APOLLO.NS,2025-02-17,112.50,115.50,109.51,113.30,0.80,0.71,6344961
APOLLO.NS,2025-02-18,113.28,113.86,103.77,106.05,-7.23,-6.38,5834768
APOLLO.NS,2025-02-19,106.10,120.00,105.00,118.46,12.36,11.65,11372274
APOLLO.NS,2025-02-20,117.93,123.05,115.83,118.28,0.35,0.30,6873141
APOLLO.NS,2025-02-21,118.00,122.88,114.55,115.75,-2.25,-1.91,7675958
APOLLO.NS,2025-02-24,114.30,118.00,111.46,115.57,1.27,1.11,7873721
APOLLO.NS,2025-02-25,116.18,119.70,115.25,116.58,0.40,0.34,4444307
APOLLO.NS,2025-02-27,118.58,118.58,114.08,115.27,-3.31,-2.79,5405344
APOLLO.NS,2025-02-28,113.50,115.81,111.60,112.68,-0.82,-0.72,5259431
ASIANPAINT.NS,2025-02-01,2290.86,2367.16,2264.41,2329.66,38.79,1.69,1318619
ASIANPAINT.NS,2025-02-03,2329.66,2342.83,2256.88,2271.29,-58.36,-2.51,1070382
ASIANPAINT.NS,2025-02-04,2283.58,2396.49,2243.06,2332.83,49.25,2.16,5373733
ASIANPAINT.NS,2025-02-05,2248.26,2274.56,2216.80,2254.40,6.14,0.27,3474642
ASIANPAINT.NS,2025-02-06,2266.29,2277.88,2239.59,2242.71,-23.58,-1.04,1285954
ASIANPAINT.NS,2025-02-07,2245.28,2255.49,2222.69,2250.24,4.95,0.22,1336756
ASIANPAINT.NS,2025-02-10,2250.29,2257.17,2233.39,2249.40,-0.89,-0.04,1181565
ASIANPAINT.NS,2025-02-11,2258.17,2262.03,2205.65,2220.36,-37.80,-1.67,1607942
ASIANPAINT.NS,2025-02-12,2221.36,2227.40,2165.72,2207.88,-13.48,-0.61,1181706
ASIANPAINT.NS,2025-02-13,2207.88,2229.38,2199.71,2215.96,8.08,0.37,921923
ASIANPAINT.NS,2025-02-14,2215.96,2229.98,2182.86,2210.90,-5.05,-0.23,1380052
ASIANPAINT.NS,2025-02-17,2210.90,2239.34,2205.70,2230.27,19.37,0.88,923900
ASIANPAINT.NS,2025-02-18,2227.45,2231.36,2198.47,2217.14,-10.30,-0.46,735853
ASIANPAINT.NS,2025-02-19,2217.14,2229.23,2205.75,2218.63,1.49,0.07,645234
ASIANPAINT.NS,2025-02-20,2218.63,2236.47,2210.65,2228.49,9.86,0.44,637442
ASIANPAINT.NS,2025-02-21,2228.49,2245.09,2216.55,2236.96,8.47,0.38,755585
ASIANPAINT.NS,2025-02-24,2225.37,2238.35,2220.51,2225.67,0.30,0.01,765042
ASIANPAINT.NS,2025-02-25,2225.67,2236.47,2197.43,2204.41,-21.25,-0.95,947702
ASIANPAINT.NS,2025-02-27,2193.76,2208.03,2177.91,2193.41,-0.35,-0.02,1027196
ASIANPAINT.NS,2025-02-28,2189.80,2191.13,2155.91,2159.82,-29.97,-1.37,1701193
BCLIND.NS,2025-02-01,47.05,48.17,46.30,47.59,0.54,1.15,633190
BCLIND.NS,2025-02-03,47.60,47.74,45.48,46.01,-1.59,-3.34,504895
BCLIND.NS,2025-02-04,46.01,47.40,46.00,46.95,0.94,2.04,412292
BCLIND.NS,2025-02-05,47.29,48.00,47.08,47.62,0.33,0.70,436986
BCLIND.NS,2025-02-06,47.67,48.40,47.07,47.42,-0.25,-0.52,356750
BCLIND.NS,2025-02-07,48.00,48.00,46.27,46.79,-1.21,-2.52,368686
BCLIND.NS,2025-02-10,46.79,47.07,44.90,45.32,-1.47,-3.14,375360
BCLIND.NS,2025-02-11,45.32,45.58,43.61,44.17,-1.15,-2.54,628823
BCLIND.NS,2025-02-12,44.17,44.50,41.60,43.41,-0.76,-1.72,928091
BCLIND.NS,2025-02-13,44.00,44.79,40.65,41.16,-2.84,-6.45,1498470
BCLIND.NS,2025-02-14,40.95,41.25,36.41,37.38,-3.57,-8.72,3194158
BCLIND.NS,2025-02-17,37.80,37.80,34.92,36.29,-1.51,-3.99,2709750
BCLIND.NS,2025-02-18,39.40,39.40,34.50,34.69,-4.71,-11.95,2377766
BCLIND.NS,2025-02-19,35.00,37.27,34.60,36.67,1.67,4.77,1706533
BCLIND.NS,2025-02-20,38.19,41.39,37.61,39.94,1.75,4.58,4290447
BCLIND.NS,2025-02-21,39.75,40.74,39.21,39.42,-0.33,-0.83,1645366
BCLIND.NS,2025-02-24,38.85,38.96,37.50,38.53,-0.32,-0.82,671277
BCLIND.NS,2025-02-25,38.50,38.90,38.00,38.14,-0.36,-0.94,555805
BCLIND.NS,2025-02-27,38.17,38.40,36.85,36.97,-1.20,-3.14,911273
BCLIND.NS,2025-02-28,36.75,36.87,35.55,36.22,-0.53,-1.44,1382046
BERGEPAINT.NS,2025-02-01,475.00,494.95,468.05,492.15,17.15,3.61,1154007
BERGEPAINT.NS,2025-02-03,493.00,497.00,481.10,485.50,-7.50,-1.52,1769700
BERGEPAINT.NS,2025-02-04,487.05,495.55,470.65,489.40,2.35,0.48,2988222
BERGEPAINT.NS,2025-02-05,489.40,489.40,472.40,479.05,-10.35,-2.11,1715973
BERGEPAINT.NS,2025-02-06,480.15,484.50,475.00,476.00,-4.15,-0.86,457035
BERGEPAINT.NS,2025-02-07,477.00,481.00,474.75,479.35,2.35,0.49,373233
BERGEPAINT.NS,2025-02-10,479.35,487.50,473.10,484.80,5.45,1.14,865594
BERGEPAINT.NS,2025-02-11,486.15,489.10,472.25,475.90,-10.25,-2.11,973237
BERGEPAINT.NS,2025-02-12,480.00,492.80,469.35,484.70,4.70,0.98,2862289
BERGEPAINT.NS,2025-02-13,484.70,491.75,479.95,485.25,0.55,0.11,561092
BERGEPAINT.NS,2025-02-14,485.05,486.95,474.55,478.30,-6.75,-1.39,454659
