symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-07-31,169.20,179.25,167.08,173.66,4.46,2.64,5783262
ASIANPAINT.NS,2025-07-31,2401.40,2417.20,2373.50,2396.10,-5.30,-0.22,1274655
BCLIND.NS,2025-07-31,44.00,45.27,43.02,43.98,-0.02,-0.05,604146
BERGEPAINT.NS,2025-07-31,565.00,574.30,562.00,564.90,-0.10,-0.02,164565
BHARTIARTL.NS,2025-07-31,1913.00,1926.50,1895.60,1914.30,1.30,0.07,4674568
CANBK.NS,2025-07-31,107.05,108.36,106.10,107.25,0.20,0.19,48185022
COALINDIA.NS,2025-07-31,378.00,379.00,374.70,376.35,-1.65,-0.44,6458452
DWARKESH.NS,2025-07-31,42.22,42.98,41.62,42.46,0.24,0.57,431204
FEDERALBNK.NS,2025-07-31,203.00,204.73,201.14,202.43,-0.57,-0.28,8617250
GAIL.NS,2025-07-31,178.00,178.91,177.36,177.68,-0.32,-0.18,7936196
GOLDBEES.NS,2025-07-31,82.18,82.40,80.00,82.20,0.02,0.02,12477363
GOLDCASE.NS,2025-07-31,15.70,15.70,15.52,15.61,-0.09,-0.57,2057935
HDFCBANK.NS,2025-07-31,2014.60,2031.40,2008.00,2018.20,3.60,0.18,11091142
HINDZINC.NS,2025-07-31,427.00,430.95,421.45,424.05,-2.95,-0.69,2112004
IDFCFIRSTB.NS,2025-07-31,68.50,69.62,68.23,68.76,0.26,0.38,22669986
INDHOTEL.NS,2025-07-31,738.05,745.55,736.10,740.75,2.70,0.37,2393760
IOC.NS,2025-07-31,146.55,147.20,144.32,145.62,-0.93,-0.63,11956927
ITC.NS,2025-07-31,405.95,414.00,405.55,411.95,6.00,1.48,19359007
JUNIORBEES.NS,2025-07-31,731.60,731.60,715.00,719.81,-11.79,-1.61,388777
LTFOODS.NS,2025-07-31,482.00,497.65,481.80,486.45,4.45,0.92,868087
MSUMI.NS,2025-07-31,37.10,37.70,36.66,37.10,0.00,0.00,4619637
NATIONALUM.NS,2025-07-31,185.00,187.75,184.00,185.06,0.06,0.03,6155956
NAZARA.NS,2025-07-31,1355.00,1370.90,1344.40,1351.40,-3.60,-0.27,260705
NCC.NS,2025-07-31,219.00,221.19,217.00,217.71,-1.29,-0.59,2107414
NIFTYBEES.NS,2025-07-31,279.90,281.39,277.33,279.26,-0.64,-0.23,6226503
NTPC.NS,2025-07-31,336.05,340.10,333.00,334.25,-1.80,-0.54,8933204
ONGC.NS,2025-07-31,240.20,242.81,239.66,241.00,0.80,0.33,10249108
ORIENTCEM.NS,2025-07-31,244.00,250.65,241.02,247.28,3.28,1.34,1344836
POWERGRID.NS,2025-07-31,284.95,294.30,284.95,291.00,6.05,2.12,14277953
PPL.NS,2025-07-31,359.10,367.45,358.05,364.05,4.95,1.38,36739
PRAKASH.NS,2025-07-31,176.30,179.40,174.52,176.64,0.34,0.19,489350
SAIL.NS,2025-07-31,123.00,124.65,122.52,124.20,1.20,0.98,12642019
TATACOMM.NS,2025-07-31,1766.00,1782.90,1701.30,1724.70,-41.30,-2.34,621373
TATAMOTORS.NS,2025-07-31,659.85,673.40,652.35,665.95,6.10,0.92,18721010
TATAPOWER.NS,2025-07-31,396.70,400.50,396.10,397.75,1.05,0.26,5284070
TATASTEEL.NS,2025-07-31,161.00,162.13,156.56,157.94,-3.06,-1.90,26176976
