symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-07-01,193.25,195.50,190.66,191.77,-1.48,-0.77,4047439
APOLLO.NS,2025-07-02,192.00,194.56,189.00,190.52,-1.48,-0.77,2820429
APOLLO.NS,2025-07-03,191.80,191.80,187.22,187.81,-3.99,-2.08,2431174
APOLLO.NS,2025-07-04,190.00,196.00,189.27,191.88,1.88,0.99,7158268
APOLLO.NS,2025-07-07,192.38,192.48,184.39,185.90,-6.48,-3.37,3420001
APOLLO.NS,2025-07-08,185.90,188.00,183.00,186.31,0.41,0.22,2605002
APOLLO.NS,2025-07-09,187.00,191.20,186.81,189.46,2.46,1.32,2874848
APOLLO.NS,2025-07-10,190.50,190.90,185.94,186.43,-4.07,-2.14,1978974
APOLLO.NS,2025-07-11,185.00,185.80,178.62,179.81,-5.19,-2.81,3871365
APOLLO.NS,2025-07-14,179.20,185.00,175.51,184.24,5.04,2.81,5854302
APOLLO.NS,2025-07-15,184.00,185.34,181.01,181.43,-2.57,-1.40,1567438
APOLLO.NS,2025-07-16,181.50,182.37,179.00,179.40,-2.10,-1.16,1466397
APOLLO.NS,2025-07-17,179.55,182.49,178.33,179.66,0.11,0.06,1776396
APOLLO.NS,2025-07-18,180.69,181.20,176.50,177.10,-3.59,-1.99,1345708
APOLLO.NS,2025-07-21,177.81,182.90,175.99,180.55,2.74,1.54,2216791
APOLLO.NS,2025-07-22,181.90,184.99,180.62,183.81,1.91,1.05,2741042
APOLLO.NS,2025-07-23,184.59,184.68,179.00,180.73,-3.86,-2.09,1701013
APOLLO.NS,2025-07-24,180.50,180.69,166.73,171.63,-8.87,-4.91,4075343
APOLLO.NS,2025-07-25,171.80,174.60,168.35,171.90,0.10,0.06,7538668
APOLLO.NS,2025-07-28,171.40,184.91,162.34,181.43,10.03,5.85,15581195
APOLLO.NS,2025-07-29,181.45,181.64,173.60,177.77,-3.68,-2.03,9293086
